topic,words
0,"home, stay, beautiful, place, recommend, comfortable, absolutely, felt, highly, wonderful, perfect"
1,"stay, place, great, clean, definitely, perfect, comfortable, recommend, needed, host, responsive"
2,"stay, place, host, check, time, room, night, clean, stayed, airbnb, just"
3,"br, stay, comfortable, coffee, bed, loved, clean, kitchen, place, space, home"
4,"room, nice, great, place, stay, kitchen, house, bed, bathroom, clean, space"
5,"great, location, stay, restaurants, easy, place, walking, walk, parking, downtown, close"
